Distance,Speed,Lateral G,Longitudinal G
1040,185.899999,0.12270827,0.216374269
1045,186.299999,0.29075738,0.178523231
1050,186.499999,0.43581514,0.173639226
1055,187.749999,0.55455712,0.168755221
1060,188.199999,0.65596919,0.144335197
1066,187.649999,0.74582798,0.122357174
1071,188.399999,0.81707317,0.111175374
1076,189.199999,0.88061617,-0.085470086
1081,186.799999,0.93838254,-0.496240601
1086,184.049999,0.92618742,-0.877192982
1091,180.099999,0.86585366,-1.147869674
1096,173.949999,0.79781771,-1.261904761
1101,171.099999,0.71181001,-1.310776942
1106,163.999999,0.65596919,-1.274436090
1110,162.699999,0.63543003,-1.230576441
1115,156.399999,0.62901155,-1.215538847
1119,153.899999,0.65211809,-1.241854636
1123,149.699999,0.64377406,-1.239348370
1127,146.599999,0.68164313,-1.091478696
1131,141.699999,0.72785622,-1.026315789
1135,139.499999,0.78626444,-1.065162907
1139,134.099999,0.89409499,-1.104010024
1143,131.749999,0.94287548,-1.060150375
1146,130.199999,1.03016688,-0.957393483
1150,125.799999,1.08793324,-0.901002506
1153,123.599999,1.14120667,-0.864661654
1157,120.499999,1.21181001,-0.873433584
1160,117.499999,1.25096277,-0.840852130
1163,116.199999,1.32092426,-0.724310776
1166,113.899999,1.34146341,-0.607769423
1170,112.799999,1.38125802,-0.536340852
1173,109.699999,1.40629011,-0.520050125
1176,108.999999,1.44993581,-0.548872180
1179,106.149999,1.46983312,-0.597744360
1182,104.499999,1.51925545,-0.582706766
1184,102.699999,1.53465982,-0.536340852
1187,101.899999,1.52824133,-0.505012531
1190,100.699999,1.51797175,-0.468671679
1193,98.599999,1.50962772,-0.424812030
1196,96.499999,1.47111681,-0.401002506
1198,96.399999,1.43388960,-0.303258145
1201,95.799999,1.45378690,-0.139097744
1204,95.099999,1.44929396,-0.033834586
1206,95.699999,1.43709884,0.010025062
1209,96.699999,1.44223363,0.095816464
1212,97.149999,1.41912708,0.135691793
1214,98.199999,1.27727856,0.184628237
1217,98.799999,1.23876765,0.248120300
1220,98.099999,1.17265725,0.249341302
1222,99.599999,1.08472400,0.271319323
1225,100.199999,1.11617458,0.320159372
1228,100.949999,1.09756097,0.305507358
1231,102.899999,1.06225930,0.270098322
1234,104.299999,1.10847240,0.311612364
1237,105.399999,1.08664955,0.348242400
1240,107.199999,1.11938382,0.375104427
1243,107.699999,1.14441591,0.354347406
1246,108.899999,1.09114249,0.336032388
1249,110.149999,1.13093709,0.367778420
1252,110.899999,1.06675224,0.377546430
